pipeline,correlation,n_features,n_reps,n_classes,n_samples,mean_acc,std_acc
LdaBoost,0.5,5,5,3,1000,0.572000,0.034033
LdaBoost,0.5,50,5,3,1000,0.670667,0.038146
LdaBoost,0.5,100,5,3,1000,0.622667,0.014967
LdaBoost,0.5,300,5,3,1000,0.497333,0.024801
LdaBoost,0.5,400,5,3,1000,0.490000,0.008944
GBM,0.5,5,5,3,1000,0.585333,0.025438
GBM,0.5,50,5,3,1000,0.592000,0.027293
GBM,0.5,100,5,3,1000,0.591333,0.022071
GBM,0.5,300,5,3,1000,0.552667,0.015691
GBM,0.5,400,5,3,1000,0.548667,0.019160
LDA+GBM,0.5,5,5,3,1000,0.586667,0.043359
LDA+GBM,0.5,50,5,3,1000,0.672000,0.038041
LDA+GBM,0.5,100,5,3,1000,0.629333,0.014817
LDA+GBM,0.5,300,5,3,1000,0.502000,0.022371
LDA+GBM,0.5,400,5,3,1000,0.495333,0.006182
