scenario,seed,model,fit_seconds,predict_seconds,total_seconds,test_accuracy
binary_high_dim,11,GBM,2.7271686660242267,0.0007079580100253224,2.727876624034252,0.77
binary_high_dim,11,PCA+GBM,0.5187912919791415,0.0006633750163018703,0.5194546669954434,0.7333333333333333
binary_high_dim,11,LDA+GBM,0.07321249996311963,0.0006067909998819232,0.07381929096300155,0.6733333333333333
binary_high_dim,11,LdaBoost,2.7491853749961592,0.016970708034932613,2.766156083031092,0.67
binary_high_dim,29,GBM,2.6883619999862276,0.0007057919865474105,2.689067791972775,0.8066666666666666
binary_high_dim,29,PCA+GBM,0.5198937079985626,0.0008067500311881304,0.5207004580297507,0.7833333333333333
binary_high_dim,29,LDA+GBM,0.10303433297667652,0.0008748330292291939,0.10390916600590572,0.7033333333333334
binary_high_dim,29,LdaBoost,2.8340054590371437,0.01715475000673905,2.851160209043883,0.7
binary_high_dim,47,GBM,2.7093487080419436,0.0006987919914536178,2.7100475000333972,0.7833333333333333
binary_high_dim,47,PCA+GBM,0.49883595801657066,0.0006528330268338323,0.4994887910434045,0.8033333333333333
binary_high_dim,47,LDA+GBM,0.07087929098634049,0.0005954579683020711,0.07147474895464256,0.6833333333333333
binary_high_dim,47,LdaBoost,2.590342583018355,0.017132374981883913,2.607474958000239,0.6833333333333333
binary_high_dim,71,GBM,2.7198663339950144,0.0006383750005625188,2.720504708995577,0.77
binary_high_dim,71,PCA+GBM,0.49572645797161385,0.0006325829890556633,0.4963590409606695,0.7666666666666667
binary_high_dim,71,LDA+GBM,0.06914362497627735,0.0005700420006178319,0.06971366697689518,0.7033333333333334
binary_high_dim,71,LdaBoost,2.6004412920447066,0.016731291019823402,2.61717258306453,0.7
binary_high_dim,89,GBM,2.666751209006179,0.0006364579894579947,2.667387666995637,0.72
binary_high_dim,89,PCA+GBM,0.4969770419993438,0.000639208999928087,0.49761625099927187,0.72
binary_high_dim,89,LDA+GBM,0.06999925000127405,0.0005802499945275486,0.0705794999958016,0.6633333333333333
binary_high_dim,89,LdaBoost,2.6408172910450958,0.01703020802233368,2.6578474990674295,0.6533333333333333
multiclass_moderate_dim,11,GBM,4.562980292015709,0.0024554170086048543,4.565435709024314,0.5866666666666667
multiclass_moderate_dim,11,PCA+GBM,1.3300592089653946,0.002495249966159463,1.332554458931554,0.5933333333333334
multiclass_moderate_dim,11,LDA+GBM,0.37124808301450685,0.002428875013720244,0.3736769580282271,0.5066666666666667
multiclass_moderate_dim,11,LdaBoost,1.1688495420385152,0.025436957948841155,1.1942864999873564,0.53
multiclass_moderate_dim,29,GBM,4.533834041038062,0.0023324579815380275,4.5361664990196005,0.6033333333333334
multiclass_moderate_dim,29,PCA+GBM,1.3191551250056364,0.002224957977887243,1.3213800829835236,0.58
multiclass_moderate_dim,29,LDA+GBM,0.36788700002944097,0.0023771660053171217,0.3702641660347581,0.57
multiclass_moderate_dim,29,LdaBoost,1.144311166019179,0.02491270797327161,1.1692238739924505,0.59
multiclass_moderate_dim,47,GBM,4.50226808298612,0.0021717079798690975,4.504439790965989,0.5533333333333333
multiclass_moderate_dim,47,PCA+GBM,1.3048832080094144,0.0022109999554231763,1.3070942079648376,0.5566666666666666
multiclass_moderate_dim,47,LDA+GBM,0.36281812499510124,0.002442500030156225,0.36526062502525747,0.5066666666666667
multiclass_moderate_dim,47,LdaBoost,1.1562347500002943,0.024580583965871483,1.1808153339661658,0.5
multiclass_moderate_dim,71,GBM,4.443457582965493,0.0021656250464729965,4.445623208011966,0.5866666666666667
multiclass_moderate_dim,71,PCA+GBM,1.3044073749915697,0.0022434580023400486,1.3066508329939097,0.6
multiclass_moderate_dim,71,LDA+GBM,0.3603669590083882,0.002367458015214652,0.3627344170236029,0.55
multiclass_moderate_dim,71,LdaBoost,1.1475730829988606,0.024547334003727883,1.1721204170025885,0.53
multiclass_moderate_dim,89,GBM,4.442050624988042,0.002182917029131204,4.444233542017173,0.6233333333333333
multiclass_moderate_dim,89,PCA+GBM,1.303036457975395,0.00245504203485325,1.3054915000102483,0.6
multiclass_moderate_dim,89,LDA+GBM,0.3609921250026673,0.002414042013697326,0.36340616701636463,0.5466666666666666
multiclass_moderate_dim,89,LdaBoost,1.1460880829836242,0.025069417024496943,1.1711575000081211,0.5533333333333333
